Deal_ID,Date,Year,Month,Quarter,Region,Category,Channel,Segment,Sales_Rep,Status,Revenue,Cost,Profit,Profit_Margin,Units_Sold,Customer_Satisfaction
DL-00001,2023-10-17,2023,10,Q4,Europe,Hardware,Direct,Enterprise,Rep_01,Closed Won,2973.79,1730.93,1242.86,41.79,1,4.4
DL-00002,2022-04-25,2022,4,Q2,Middle East,Electronics,Direct,SMB,Rep_01,Closed Won,13112.84,6598.72,6514.12,49.68,1,3.0
DL-00003,2022-01-26,2022,1,Q1,Asia Pacific,Electronics,Partner,Enterprise,Rep_19,On Hold,14908.57,6043.08,8865.49,59.47,1,3.6
DL-00004,2022-10-09,2022,10,Q4,Europe,Software,Direct,Enterprise,Rep_05,Closed Won,55287.1,26374.45,28912.65,52.3,2,5.0
DL-00005,2022-09-08,2022,9,Q3,North America,Software,Online,Enterprise,Rep_13,In Progress,40346.02,20119.67,20226.35,50.13,2,3.1
DL-00006,2022-08-17,2022,8,Q3,North America,Hardware,Partner,Enterprise,Rep_19,Closed Lost,5977.47,3319.05,2658.42,44.47,1,5.0
DL-00007,2022-05-23,2022,5,Q2,North America,Services,Direct,Mid-Market,Rep_12,Closed Won,12149.11,5587.2,6561.91,54.01,1,3.5
DL-00008,2022-04-15,2022,4,Q2,Latin America,Software,Direct,Enterprise,Rep_16,On Hold,37788.34,26664.93,11123.41,29.44,1,2.9
DL-00009,2023-11-24,2023,11,Q4,Asia Pacific,Electronics,Reseller,Startup,Rep_19,Closed Won,15658.73,10126.8,5531.93,35.33,1,4.3
DL-00010,2023-07-13,2023,7,Q3,Asia Pacific,Consulting,Partner,Startup,Rep_03,In Progress,22367.75,9614.11,12753.64,57.02,1,3.9
DL-00011,2022-03-31,2022,3,Q1,North America,Software,Online,SMB,Rep_12,Closed Won,19159.33,12023.1,7136.23,37.25,1,3.8
DL-00012,2023-08-28,2023,8,Q3,Middle East,Software,Direct,Enterprise,Rep_05,In Progress,30314.08,19060.88,11253.2,37.12,1,3.2
DL-00013,2023-03-09,2023,3,Q1,Latin America,Electronics,Partner,SMB,Rep_02,Closed Won,18440.34,13547.7,4892.64,26.53,1,3.9
DL-00014,2022-02-02,2022,2,Q1,North America,Hardware,Direct,Mid-Market,Rep_07,Closed Lost,6909.96,2771.29,4138.67,59.89,1,2.1
DL-00015,2022-01-31,2022,1,Q1,North America,Services,Partner,SMB,Rep_13,In Progress,2699.34,1313.97,1385.37,51.32,1,4.0
DL-00016,2022-04-06,2022,4,Q2,North America,Electronics,Reseller,Enterprise,Rep_15,On Hold,7867.88,5702.07,2165.81,27.53,1,4.8
DL-00017,2022-08-12,2022,8,Q3,North America,Electronics,Direct,SMB,Rep_03,On Hold,20448.2,14850.44,5597.76,27.38,1,2.4
DL-00018,2022-08-27,2022,8,Q3,Europe,Services,Direct,Mid-Market,Rep_20,In Progress,3445.83,2247.39,1198.44,34.78,1,3.5
DL-00019,2023-06-02,2023,6,Q2,Europe,Services,Direct,Mid-Market,Rep_05,In Progress,18077.64,12076.17,6001.47,33.2,2,3.1
DL-00020,2023-09-09,2023,9,Q3,North America,Electronics,Direct,Enterprise,Rep_08,Closed Won,25181.98,10879.09,14302.89,56.8,2,2.6
DL-00021,2022-01-28,2022,1,Q1,Asia Pacific,Consulting,Direct,Mid-Market,Rep_01,Closed Won,30622.82,17756.84,12865.98,42.01,1,2.2
DL-00022,2023-07-29,2023,7,Q3,North America,Electronics,Direct,Enterprise,Rep_08,Closed Won,20226.95,9730.26,10496.69,51.89,1,2.9
DL-00023,2022-07-23,2022,7,Q3,North America,Software,Online,Enterprise,Rep_18,Closed Won,32565.82,15091.86,17473.96,53.66,1,3.6
DL-00024,2023-10-28,2023,10,Q4,Europe,Consulting,Partner,Mid-Market,Rep_20,Closed Won,28297.14,19344.1,8953.04,31.64,1,4.7
DL-00025,2023-12-20,2023,12,Q4,Europe,Software,Direct,Enterprise,Rep_16,Closed Lost,12577.77,5625.58,6952.19,55.27,1,2.6
DL-00026,2023-07-13,2023,7,Q3,Asia Pacific,Services,Reseller,Enterprise,Rep_18,Closed Won,16219.62,9148.32,7071.3,43.6,2,4.0
DL-00027,2023-03-06,2023,3,Q1,North America,Software,Direct,Enterprise,Rep_20,Closed Lost,50526.14,36808.41,13717.73,27.15,2,4.0
DL-00028,2022-08-14,2022,8,Q3,Europe,Electronics,,Mid-Market,Rep_12,Closed Won,8196.89,3811.89,4385.0,53.5,1,5.0
DL-00029,2023-04-05,2023,4,Q2,Europe,Consulting,Direct,Mid-Market,Rep_13,Closed Won,14813.96,10996.37,3817.59,25.77,1,4.3
DL-00030,2023-08-27,2023,8,Q3,North America,Software,Reseller,SMB,Rep_13,Closed Lost,23347.21,17463.73,5883.48,25.2,1,4.3
DL-00031,2022-10-12,2022,10,Q4,Asia Pacific,Hardware,Partner,Mid-Market,Rep_10,In Progress,5849.34,3477.23,2372.11,40.55,1,4.4
DL-00032,2022-01-07,2022,1,Q1,North America,Electronics,Online,Enterprise,Rep_07,In Progress,16127.48,7411.38,8716.1,54.05,1,3.1
DL-00033,2022-06-13,2022,6,Q2,North America,Electronics,Reseller,SMB,Rep_14,Closed Lost,27441.25,14012.51,13428.74,48.94,2,3.3
DL-00034,2023-12-16,2023,12,Q4,Middle East,Electronics,Direct,SMB,Rep_16,Closed Won,4880.34,2677.22,2203.12,45.14,1,4.7
DL-00035,2023-03-09,2023,3,Q1,Middle East,Services,Reseller,Enterprise,Rep_15,Closed Lost,22047.98,11206.18,10841.8,49.17,2,2.2
DL-00036,2022-12-15,2022,12,Q4,Latin America,Software,Direct,SMB,Rep_12,Closed Won,20400.14,10163.81,10236.33,50.18,1,3.3
